Price,Year,Generation,Trim,Mileage,Distance,Seller,Owners
4990,2013,7,ST-2,90955,180,Trade,
4795,2013,7,ST-2,90800,160,Trade,
8995,2016,7,ST-2,42000,136,Trade,4
9495,2013,7,ST-2,73000,241,Trade,
7995,2015,7,ST-2,42000,136,Trade,4
7795,2016,7,ST-2,53800,203,Trade,2
12330,2019,8,ST-2,21590,145,Private,2
6195,2013,7,ST-2,66009,159,Trade,10
5390,2013,7,ST-2,91000,212,Trade,
5000,2014,7,ST-2,73715,445,Private,5
