company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
GRATTE BROTHERS CATERING EQUIPMENT LIMITED,01832773,Active,Private limited company,,,1984-07-13,,,43210,"2 Regents Wharf All Saints Street London N1 9RL "
RK PROCRAFT LTD,09341106,Active,Private limited company,,,2014-12-04,,,41100 41202 43210 43220,Office 8 292-294 Plashet Grove London E6 1DQ England
ALLENSPARKS LTD,08149937,Active,Private limited company,,,2012-07-19,,,33140 43210,"Flat 40 Boscobel House Royal Oak Road London E8 1BT "
PRICECUT BUILDING SERVICES LTD.,08540949,Active,Private limited company,,,2013-05-23,,,41202 43210 47190 68100,116 Plumstead High Street London SE18 1SJ England
A J O ELECTRICAL SERVICES LIMITED,09023288,Active,Private limited company,,,2014-05-02,,,43210,"4a Roman Road East Ham E6 3RX "
CILANTRO ENGINEERING UK LTD,07233102,Active,Private limited company,,,2010-04-23,,,43210,3rd Floor 161 Marsh Wall London E14 9SJ United Kingdom
G. TRAVERS & CO. LIMITED,04458230,Active,Private limited company,,,2002-06-11,,,43210 46900,"203 Kilburn High Road London NW6 7HY "
DR. SPARKS LIMITED,05579327,Active,Private limited company,,,2005-09-30,,,43210,"2nd Floor, Premier House 309 Ballards Lane London N12 8LY "
LEGENDA ELECTRICAL SERVICES LTD,06896923,Active,Private limited company,,,2009-05-06,,,43210,"39 Merrivale Oakwood London N14 4TE "
MASON DIRECT LTD,09347343,Active,Private limited company,,,2014-12-09,,,43210,"26 Park Court Old London Road Brighton BN1 8XS "
W MCGREGOR ELECTRICAL LIMITED,05136314,Active,Private limited company,,,2004-05-24,,,43210,44 Colin Crescent Colindale London NW9 6EY England
KI MIHAYLOV LTD,07739309,Active,Private limited company,,,2011-08-12,,,43210,"86b Clarendon Road London W11 2HR "
ALARM COMMUNICATION LIMITED,01804961,Active,Private limited company,,,1984-04-02,,,43210,C/O Marlowe Plc 20 Grosvenor Place London SW1X 7HN England
JEFF EARTHY PHOTO ENGINEERING LIMITED,04474113,Active,Private limited company,,,2002-07-01,,,43210 43290,"Co Ukmal Unit 7, 3-5 Little Somerset Street London E1 8AH United Kingdom"
PARAMOUNT ELECTRICAL LTD,07646137,Active,Private limited company,,,2011-05-24,,,43210,"5 Chigwell Road London E18 1LR "
PURE ENERGY PROJECT LIMITED,07376330,Active,Private limited company,,,2010-09-15,,,43210,"176a Braemar Avenue London NW10 0DS "
DORMER ELECTRICAL LIMITED,06259099,Active,Private limited company,,,2007-05-24,,,43210,1 Burr Road London SW18 4SQ England
E.H.2.J. ELECTRICAL LTD,05332958,Active,Private limited company,,,2005-01-14,,,43210,"5 Lescombe Road Forest Hill London SE23 2RP "
READY ELECTRICAL LTD,08953816,Active,Private limited company,,,2014-03-24,,,43210,20-22 Wenlock Road London N1 7GU England
B.N.E.C. LIMITED,06840331,Active,Private limited company,,,2009-03-09,,,43210,Wellesley House 204 London Road Waterlooville PO7 7AN England
SA MANAGEMENT SERVICES ESSEX LIMITED,09247438,Active,Private limited company,,,2014-10-03,,,43210,"147 Station Road North Chingford London E4 6AG "
CAZLEA LIMITED,09048024,Active,Private limited company,,,2014-05-20,,,43210 45200,10 Woodside Grove North Finchley London N12 8QU England
COMPLIANCE GROUP ELECTRICAL LIMITED,03671454,Active,Private limited company,,,1998-11-20,,,43210,85 Great Portland Street London W1W 7LT England
ELECTRO CONTRACTORS LIMITED,04463797,Active,Private limited company,,,2002-06-18,,,43210 43220,"Hamilton House 4a The Avenue London E4 9LD "
HIGHLIGHTS FLOODLIGHTING LIMITED,03695810,Active,Private limited company,,,1999-01-15,,,43210,Ground Floor Marlborough House 298 Regents Park Road London N3 2SZ England
R HESSE LIMITED,06608242,Active,Private limited company,,,2008-06-02,,,43210,"84 High St Harlesden London NW10 4SJ "
INFINITY 08 LIMITED,06560696,Active,Private limited company,,,2008-04-09,,,43210 43220,7 Atkinson Road London E16 3LP England
SYSTEM ELECTRICS LIMITED,02400250,Active,Private limited company,,,1989-07-03,,,43210,"70 Mortlake High Street London SW14 8HR "
LOCAL GAS LIMITED,07448962,Active,Private limited company,,,2010-11-24,,,43210 43220 45112,1a Falmer Court London Road Uckfield TN22 1HN England
VASIOT DESIGN LIMITED,04808987,Active,Private limited company,,,2003-06-24,,,43210,225 London Road Burgess Hill RH15 9QU United Kingdom
GLOSTER S-WORX LIMITED,05613417,Active,Private limited company,,,2005-11-04,,,43210 43220,29 Great Guildford Street London SE1 0ES England
ROMAN ELECTRICAL LTD,07423057,Active,Private limited company,,,2010-10-29,,,41201 41202 43210,"35 Grafton Way London W1T 5DB "
FES LIGHTING EUROPE NO 1 LIMITED,08636394,Active,Private limited company,,,2013-08-02,,,43210 46180,"10 Gloucester Place Portman Square London W1U 8EZ "
FES CONTRACTS UK NO 1 LIMITED,08620419,Active,Private limited company,,,2013-07-23,,,43210 46180,"10 Gloucester Place Portman Square London W1U 8EZ "
G. PRIESTNALL & SONS LIMITED,03678698,Active,Private limited company,,,1998-12-04,,,43210,"329 London Road Hazel Grove Stockport SK7 4PS "
STONEVIEW SERVICES LIMITED,04573131,Active,Private limited company,,,2002-10-25,,,43210,56a Haverstock Hill London NW3 2BH England
AB ELECTRICAL (UK) LIMITED,09147457,Active,Private limited company,,,2014-07-25,,,43210,"1-4 London Road Spalding PE11 2TA "
NIGHTHAWK ELECTRICAL & SECURITY LIMITED,08100542,Active,Private limited company,,,2012-06-11,,,43210,"21 Colin Park Road Colindale London NW9 6HT "
DKW SERVICE SOLUTIONS LTD,06955333,Active,Private limited company,,,2009-07-07,,,43210,"Central Chambers , 227 London Road Hadleigh SS7 2RF "
STRAUSS ELECTRICAL LIMITED,08380920,Active,Private limited company,,,2013-01-30,,,43210,"Mountview Court 1148 High Road London N20 0RA "
LATCH TECH LIMITED,09000428,Active,Private limited company,,,2014-04-16,,,43210,"4a Roman Road East Ham E6 3RX "
SMART MASON LIMITED,07571766,Active,Private limited company,,,2011-03-21,,,43210,88 Chesterton Terrace London E13 0BZ England
SPARKS SERVICES LIMITED,08727649,Active,Private limited company,,,2013-10-10,,,43210,"5 Chigwell Road London E18 1LR "
IVAN COYNE LIMITED,09243295,Active,Private limited company,,,2014-10-01,,,43210,4a Roman Road London E6 3RX England
O.M.T. LTD,08857972,Active,Private limited company,,,2014-01-23,,,43210,5.2 Central House 1 Ballards Lane London N3 1LQ United Kingdom
MAILE ELECTRICAL LTD,03289006,Active,Private limited company,,,1996-12-06,,,43210,Top  Floor Claridon House London Road Stanford Le Hope SS17 0JU England
AROE ELECTRICAL LIMITED,08726730,Active,Private limited company,,,2013-10-10,,,43210,"4 Green Lane Business Park 238 Green Lane New Eltham London SE9 3TL "
MH ELECTRICAL CONTRACTORS LIMITED,05252811,Active,Private limited company,,,2004-10-07,,,43210,"4a Roman Road East Ham London E6 3RX "
EMM ELECTRICAL CONTRACTORS LTD,09290029,Active,Private limited company,,,2014-10-31,,,43210 71200,124 City Road London EC1V 2NX England
ILLUMINATION ELECTRICAL LIMITED,08149648,Active,Private limited company,,,2012-07-19,,,43210,"23a The Precinct London Road Waterlooville PO7 7DT "
ARTMIS ELECTRICAL CONTRACTORS LTD,05253993,Active,Private limited company,,,2004-10-08,,,43210,"40 Clitterhouse Road London NW2 1DJ "
VITAL ELECTRICAL SOLUTIONS LIMITED,08854107,Active,Private limited company,,,2014-01-21,,,43210,167 Bittacy Rise Mill Hill London NW7 2HJ England
ELEC 2000 LIMITED,02842471,Active,Private limited company,,,1993-08-05,,,43210,"8 Rodborough Road London NW11 8RY "
A.M. PUGH LIMITED,03394831,Active,Private limited company,,,1997-06-30,,,43210,"43 Saint Mary Road Walthamstow London E17 9RF "
CUBIT ELECTRICAL AND MECHANICAL ENGINEERING LIMITED,06634964,Active,Private limited company,,,2008-07-01,,,43210,"1 - 4 London Road Spalding PE11 2TA "
CUBIC INTERIORS LIMITED,04608232,Active,Private limited company,,,2002-12-04,,,43210,"66 Dawpool Road Neasden London NW2 7LB "
